"","Sample_name","rep","rank","intercept_b0","slope_b1","rsq","row","endrow","time","endtime","oxy","endoxy","rate.2pt","rate"
"18","CBASS_T0_9",NA,1,4.43799513596844,-0.000580920964457942,0.999,210,869,300.31,1199.94,4.2669,3.756,-0.000567900136722875,-0.000580920964457942
"19","CBASS_T0_13",NA,1,4.4247363105436,-0.000117733345633046,0.99,278,795,399.41,1099.69,4.3781,4.2971,-0.000115668018506882,-0.000117733345633046
"20","CBASS_T0_14",NA,1,4.42005411043386,-3.81546370809695e-05,0.558,679,869,949.53,1199.94,4.3814,4.3775,-1.55744578890611e-05,-3.81546370809695e-05
"21","CBASS_T0_15",NA,1,4.36526917102348,-0.000347280228752216,0.995,71,831,99.75,1100.3,4.317,3.9777,-0.00033911348758183,-0.000347280228752216
"22","CBASS_T0_drift1",NA,1,4.42418717864142,7.839043208819e-05,0.928,218,753,300.2,1000.61,4.4439,4.5063,8.90906754615157e-05,7.839043208819e-05
"23","CBASS_T0_drift2",NA,1,4.36811828258392,5.13023263407892e-05,0.958,218,753,300.2,1000.61,4.3827,4.4205,5.39683899430331e-05,5.13023263407892e-05
"24","CBASS_T0_drift3",NA,1,4.41762206034681,7.4991363679965e-05,0.979,218,753,300.2,1000.61,4.4403,4.4902,7.12439856655388e-05,7.4991363679965e-05
"25","CBASS_T1-27A_9",NA,1,4.06256179785872,-0.000722573571189122,0.998,26,489,49.45,799.97,4.0106,3.4818,-0.000704578159142995,-0.000722573571189122
"26","CBASS_T1-27A_13",NA,1,4.24895513012159,-0.000215422503650438,0.993,54,489,99.64,799.97,4.234,4.0847,-0.000213185212685449,-0.000215422503650438
"27","CBASS_T1-27A_14",NA,1,4.07158219651165,-0.000569564989022779,0.986,54,489,99.64,799.97,4.0346,3.6176,-0.000595433581311668,-0.000569564989022779
"28","CBASS_T1-27A_15",NA,1,4.19140175621428,-0.000230111021342374,0.975,238,550,399.41,900.41,4.0966,3.9927,-0.000207385229540917,-0.000230111021342374
"29","CBASS_T1-27B_9",NA,1,4.22733694445844,-0.000259215039947746,0.988,32,418,50.37,700.2,4.2131,4.0466,-0.0002562208577628,-0.000259215039947746
"30","CBASS_T1-27B_13",NA,1,4.25257825095118,-0.000377412295253094,0.996,32,418,50.37,700.2,4.232,3.9811,-0.000386100980256375,-0.000377412295253094
"31","CBASS_T1-27B_14",NA,1,4.21956901177464,-0.000421265403393752,1,32,418,50.37,700.2,4.1994,3.9256,-0.000421340966098825,-0.000421265403393752
"32","CBASS_T1-27B_15",NA,1,4.26545508495844,-0.000310887629947685,0.997,61,445,99.47,750.75,4.2407,4.0403,-0.000307701756540966,-0.000310887629947685
"33","CBASS_T1-29.5A_9",NA,1,4.05243929686779,-0.000310369682923047,0.998,73,649,99.83,899.53,4.0263,3.7778,-0.000310741528073027,-0.000310369682923047
"34","CBASS_T1-29.5A_13",NA,1,4.0561935942298,-0.000291544857347503,0.987,73,649,99.83,899.53,4.0393,3.8124,-0.000283731399274728,-0.000291544857347503
"35","CBASS_T1-29.5A_14",NA,1,4.12162197609746,-0.00018177671829796,0.991,73,649,99.83,899.53,4.1127,3.9664,-0.000182943603851444,-0.00018177671829796
"36","CBASS_T1-29.5A_15",NA,1,4.1487291200814,-0.000217389260653987,0.997,73,649,99.83,899.53,4.1326,3.95,-0.000228335625859697,-0.000217389260653987
"37","CBASS_T1-29.5B_9",NA,1,4.02186444798506,-0.000550837841628814,0.993,31,468,50.14,700.05,3.9975,3.6451,-0.000542228924004863,-0.000550837841628814
"38","CBASS_T1-29.5B_13",NA,1,4.13366059246175,-0.000163855900968277,0.989,61,537,99.36,800.06,4.122,4.0078,-0.000162979877265592,-0.000163855900968277
"39","CBASS_T1-29.5B_14",NA,1,4.09724466209375,-0.000314838415254616,0.996,61,468,99.36,700.05,4.0714,3.8816,-0.000315969967870282,-0.000314838415254616
"40","CBASS_T1-29.5B_15",NA,1,4.09889949184506,-0.000273880889600465,0.997,61,537,99.36,800.06,4.0773,3.8833,-0.000276865991151705,-0.000273880889600465
"41","CBASS_T1-32A_9",NA,1,4.11320856739422,-0.00018503977101366,0.994,318,781,499.25,1200.7,4.0193,3.89,-0.00018433245420201,-0.00018503977101366
"42","CBASS_T1-32A_13",NA,1,4.07355372389414,-0.000230206522604285,0.995,318,781,499.25,1200.7,3.9506,3.7964,-0.000219830351414926,-0.000230206522604285
"43","CBASS_T1-32A_14",NA,1,4.15683691279523,-0.00010928742549628,0.948,195,781,299.87,1200.7,4.1127,4.0233,-9.92418103304734e-05,-0.00010928742549628
"44","CBASS_T1-32A_15",NA,1,4.13660929376283,-8.56242171321784e-05,0.967,318,781,499.25,1200.7,4.0966,4.0365,-8.56796635540657e-05,-8.56242171321784e-05
"45","CBASS_T1-32B_9",NA,1,4.00641888524122,0.000132661179441272,0.493,7,73,9.28,99.64,4.0098,4.0181,9.18548030101738e-05,0.000132661179441272
"46","CBASS_T1-32B_13",NA,1,4.02727363914093,1.88545775125695e-05,0.131,7,73,9.28,99.64,4.0269,4.0295,2.87737937140247e-05,1.88545775125695e-05
"47","CBASS_T1-32B_14",NA,1,4.03016686269611,-0.000106945513040149,0.765,7,73,9.28,99.64,4.028,4.0169,-0.000122841965471446,-0.000106945513040149
"48","CBASS_T1-32B_15",NA,1,4.07288163242331,-2.07620449415746e-05,0.0527,7,73,9.28,99.64,4.0772,4.0729,-4.75874280655228e-05,-2.07620449415746e-05
"49","CBASS_T1-32B2_9",NA,1,4.03439618499006,-0.000103355730217717,0.97,280,634,399.7,900.22,3.9956,3.9385,-0.000114081355390394,-0.000103355730217717
"50","CBASS_T1-32B2_13",NA,1,4.05729662326283,-6.18830513625046e-05,0.962,280,706,399.7,1000.69,4.0346,3.9935,-6.83871611840465e-05,-6.18830513625046e-05
"51","CBASS_T1-32B2_14",NA,1,4.03186054432214,-0.000106996922252169,0.989,351,706,499.36,1000.69,3.9796,3.9266,-0.000105718788023856,-0.000106996922252169
"52","CBASS_T1-32B2_15",NA,1,4.10346970058461,-6.58770217024437e-05,0.959,351,706,499.36,1000.69,4.0729,4.0368,-7.20084575030406e-05,-6.58770217024437e-05
"53","CBASS_T1-34.5A_9",NA,1,3.92352437707069,-0.000137632493881152,0.958,371,755,499.5,1000.37,3.8555,3.7855,-0.000139756823127758,-0.000137632493881152
"54","CBASS_T1-34.5A_13",NA,1,3.86737333412316,-0.000161293400021153,0.975,371,755,499.5,1000.37,3.7807,3.7045,-0.000152135284604788,-0.000161293400021153
"55","CBASS_T1-34.5A_14",NA,1,3.80087176769461,-4.69471785987818e-05,0.833,371,755,499.5,1000.37,3.7786,3.7489,-5.9296823527063e-05,-4.69471785987818e-05
"56","CBASS_T1-34.5A_15",NA,1,3.98908599649931,-4.84422808372473e-05,0.771,371,755,499.5,1000.37,3.956,3.9381,-3.57378161998124e-05,-4.84422808372473e-05
"57","CBASS_T1-34.5B_9",NA,1,3.94468404761949,-9.65348485009148e-05,0.932,330,638,499.89,1000.73,3.8994,3.8533,-9.20453637888348e-05,-9.65348485009148e-05
"58","CBASS_T1-34.5B_13",NA,1,4.03914377831738,-0.000140543322886628,0.946,330,638,499.89,1000.73,3.9693,3.8927,-0.00015294305566648,-0.000140543322886628
"59","CBASS_T1-34.5B_14",NA,1,3.873396321611,-5.94260735396153e-05,0.932,330,638,499.89,1000.73,3.843,3.8087,-6.84849452919096e-05,-5.94260735396153e-05
"60","CBASS_T1-34.5B_15",NA,1,3.74633247018008,-0.000308563224668166,0.995,330,638,499.89,1000.73,3.5974,3.4408,-0.000312674706493092,-0.000308563224668166
"61","CBASS_T2-27A_9",NA,1,4.08936890996026,-0.000434110151901112,0.995,59,546,99.75,800.92,4.0335,3.7275,-0.000436413423278235,-0.000434110151901112
"62","CBASS_T2-27A_13",NA,1,4.20831548417992,-0.000189773067386248,0.971,59,410,99.75,600.05,4.1867,4.0975,-0.000178293024185489,-0.000189773067386248
"63","CBASS_T2-27A_14",NA,1,4.22331197684391,-0.000348449799096052,0.915,59,546,99.75,800.92,4.1753,3.9171,-0.000368241653236733,-0.000348449799096052
"64","CBASS_T2-27A_15",NA,1,4.4769220777951,-0.000522861650874906,0.633,59,410,99.75,600.05,4.6504,4.2286,-0.000843094143513892,-0.000522861650874906
"65","CBASS_T2-27B_9",NA,1,4.19739543321888,-0.00054071585591993,0.994,67,580,99.83,800.17,4.1431,3.7717,-0.000530313847559756,-0.00054071585591993
"66","CBASS_T2-27B_13",NA,1,4.17320891064171,-2.12487897166911e-05,0.673,67,580,99.83,800.17,4.1688,4.1549,-1.98475026415748e-05,-2.12487897166911e-05
"67","CBASS_T2-27B_14",NA,1,4.13651789964565,-0.000490888469332166,0.951,67,242,99.83,350.17,4.0989,3.9829,-0.000463369817048816,-0.000490888469332166
"68","CBASS_T2-27B_15",NA,1,4.30952349981625,-0.00011055075497302,0.99,67,580,99.83,800.17,4.3009,4.22,-0.000115515321129738,-0.00011055075497302
"69","CBASS_T2-29.5A_9",NA,1,4.06205663970922,-0.000198475203950459,0.982,127,444,199.52,699.61,4.0181,3.918,-0.000200163970485311,-0.000198475203950459
"70","CBASS_T2-29.5A_13",NA,1,4.19355110230124,-0.000114880526866674,0.979,248,444,399.44,699.61,4.1464,4.1147,-0.000105606822800413,-0.000114880526866674
"71","CBASS_T2-29.5A_14",NA,1,4.22323533762777,-0.000205035948596482,0.981,188,444,300.14,699.61,4.1551,4.0761,-0.000197762034695972,-0.000205035948596482
"72","CBASS_T2-29.5A_15",NA,1,4.32244012467401,-0.000466316196814889,0.847,31,157,50.42,249.41,4.3273,4.2272,-0.000503040353786624,-0.000466316196814889
"73","CBASS_T2-29.5B_9",NA,1,4.12550907268827,-0.000116375968742092,0.97,218,618,299.53,850.53,4.0877,4.0275,-0.000109255898366606,-0.000116375968742092
"74","CBASS_T2-29.5B_13",NA,1,4.13955724754402,-0.000198430256737003,0.962,218,503,299.53,700.09,4.0783,3.9928,-0.000213451168364289,-0.000198430256737003
"75","CBASS_T2-29.5B_14",NA,1,4.12769762148184,-0.000209780071049919,0.989,149,656,200.55,900.12,4.0797,3.9445,-0.00019326157496748,-0.000209780071049919
"76","CBASS_T2-29.5B_15",NA,1,4.17001933007066,-5.54734817289371e-05,0.844,218,503,299.53,700.09,4.1551,4.1332,-5.4673457159975e-05,-5.54734817289371e-05
"77","CBASS_T2-32A_9",NA,1,4.13005886527025,7.58374462206183e-05,0.703,285,420,400.22,599.52,4.1605,4.1739,6.72353236327138e-05,7.58374462206183e-05
"78","CBASS_T2-32A_13",NA,1,4.17112566233169,-1.70406357845324e-05,0.639,70,555,99.45,799.77,4.169,4.1553,-1.95624857208121e-05,-1.70406357845324e-05
"79","CBASS_T2-32A_14",NA,1,4.2062033067614,-5.49101477907442e-05,0.414,249,320,350,449.87,4.1863,4.185,-1.30169219986034e-05,-5.49101477907442e-05
"80","CBASS_T2-32A_15",NA,1,4.13953054769646,-3.48562126413676e-05,0.739,149,555,210.37,799.77,4.1213,4.1061,-2.57889379029523e-05,-3.48562126413676e-05
"81","CBASS_T2-32B_9",NA,1,4.08303238021595,-5.01500458624695e-05,0.909,32,561,49.5,799.69,4.0935,4.0343,-7.89133419533714e-05,-5.01500458624695e-05
"82","CBASS_T2-32B_13",NA,1,4.15245168520215,-5.78950327588441e-05,0.578,32,561,49.5,799.69,4.2026,4.1068,-0.000127700982417788,-5.78950327588441e-05
"83","CBASS_T2-32B_14",NA,1,4.16351200222224,-0.000177730439048887,0.691,32,561,49.5,799.69,4.2356,4.0423,-0.000257668057425452,-0.000177730439048887
"84","CBASS_T2-32B_15",NA,1,4.1233695268532,-2.61293763437204e-05,0.505,32,561,49.5,799.69,4.1411,4.0939,-6.29173942601209e-05,-2.61293763437204e-05
"85","CBASS_T2-34.5A_9",NA,1,4.11183256855219,-0.000152323324835386,0.936,132,534,200.77,799.81,4.0912,3.9946,-0.000161258012820512,-0.000152323324835386
"86","CBASS_T2-34.5A_13",NA,1,4.2394894664754,-0.000151702925766194,0.985,64,534,99.34,799.81,4.2366,4.1196,-0.000167030707953231,-0.000151702925766194
"87","CBASS_T2-34.5A_14",NA,1,4.21417074680506,-8.03244653145002e-05,0.97,64,534,99.34,799.81,4.2016,4.1465,-7.86614701557531e-05,-8.03244653145002e-05
"88","CBASS_T2-34.5A_15",NA,1,4.25345511881121,-5.15750343613897e-05,0.95,200,663,300.58,999.53,4.2395,4.2006,-5.56549109378352e-05,-5.15750343613897e-05
"89","CBASS_T2-34.5B_9",NA,1,4.07361305721832,-0.000272632255625742,0.997,82,608,100.61,799.55,4.0532,3.8569,-0.00028085386442327,-0.000272632255625742
"90","CBASS_T2-34.5B_13",NA,1,4.22202532206128,-0.000168502889456279,0.995,82,608,100.61,799.55,4.2112,4.0862,-0.000178842246830915,-0.000168502889456279
"91","CBASS_T2-34.5B_14",NA,1,4.10570736357795,-0.000238093820880683,0.997,82,608,100.61,799.55,4.0866,3.9243,-0.00023220877328526,-0.000238093820880683
"92","CBASS_T2-34.5B_15",NA,1,4.18702968032802,-0.000334783427349335,0.998,82,608,100.61,799.55,4.1499,3.9171,-0.000333075800497896,-0.000334783427349335
"93","RSS_T1-27A_9",NA,1,3.22950836934791,-0.000629985874221299,0.998,36,566,49.34,750.22,3.1962,2.7645,-0.000615939961191645,-0.000629985874221299
"94","RSS_T1-27A_13",NA,1,3.65658809892152,-0.000426406183983695,0.998,73,523,100.11,700.3,3.615,3.3592,-0.000426198370516004,-0.000426406183983695
"95","RSS_T1-27A_14",NA,1,3.49398615736114,-0.00054594572837494,0.998,73,523,100.11,700.3,3.4423,3.116,-0.000543661173961579,-0.00054594572837494
"96","RSS_T1-27A_15",NA,1,2.84847873629105,-0.00091453514975844,0.999,73,523,100.11,700.3,2.7608,2.212,-0.000914377113913927,-0.00091453514975844
"97","RSS_T1-27B_9",NA,1,3.32474403029914,-0.0007135924943431,0.982,214,739,300.31,1000.28,3.1785,2.6356,-0.000775604668771519,-0.0007135924943431
"98","RSS_T1-27B_13",NA,1,4.1387258689178,-0.000220620988358391,0.979,214,739,300.31,1000.28,4.076,3.9226,-0.000219152249382116,-0.000220620988358391
"99","RSS_T1-27B_14",NA,1,4.37859359918523,-0.000148711406699817,0.989,214,739,300.31,1000.28,4.3313,4.2282,-0.000147292026801148,-0.000148711406699817
"100","RSS_T1-27B_15",NA,1,3.9503329602649,-0.000534682545971223,0.995,214,739,300.31,1000.28,3.7903,3.4234,-0.000524165321370916,-0.000534682545971223
"101","RSS_T1-29.5A_9",NA,1,3.67443470878681,-0.000867576628779444,0.997,78,779,100.44,1000.44,3.6057,2.8082,-0.000886111111111111,-0.000867576628779444
"102","RSS_T1-29.5A_13",NA,1,4.05250625419299,-0.00025969427048937,0.999,78,779,100.44,1000.44,4.0218,3.7879,-0.000259888888888889,-0.00025969427048937
"103","RSS_T1-29.5A_14",NA,1,4.06762894479899,-0.000289461686003861,0.998,78,779,100.44,1000.44,4.0334,3.7721,-0.000290333333333334,-0.000289461686003861
"104","RSS_T1-29.5A_15",NA,1,3.96045417585679,-0.000478873376085141,0.999,78,779,100.44,1000.44,3.9139,3.4822,-0.000479666666666666,-0.000478873376085141
"105","RSS_T1-29.5B_9",NA,1,3.85811466161267,-0.000623178673079461,0.999,191,689,299.17,999.95,3.669,3.2386,-0.000614172778903508,-0.000623178673079461
"106","RSS_T1-29.5B_13",NA,1,4.01841296079966,-0.000304594894653794,0.999,67,689,100.33,999.95,3.9879,3.7154,-0.000302905671283431,-0.000304594894653794
"107","RSS_T1-29.5B_14",NA,1,4.39792668154231,-0.000271219530297083,0.968,67,689,100.33,999.95,4.3565,3.9259,-0.000478646539650074,-0.000271219530297083
"108","RSS_T1-29.5B_15",NA,1,3.9109373218332,-0.000549067002818063,0.999,67,689,100.33,999.95,3.8448,3.3704,-0.000527333763144439,-0.000549067002818063
"109","RSS_T1-32A_9",NA,1,3.32860152365718,-0.00100208390467995,0.999,76,690,99.72,999.45,3.2373,2.3425,-0.000994520578395741,-0.00100208390467995
"110","RSS_T1-32A_13",NA,1,4.1106987354526,-0.000166393310551708,0.996,76,690,99.72,999.45,4.0877,3.9422,-0.000161715181221033,-0.000166393310551708
"111","RSS_T1-32A_14",NA,1,3.48495187123399,-0.00112797571816728,1,76,690,99.72,999.45,3.3642,2.3513,-0.00112578217909817,-0.00112797571816728
"112","RSS_T1-32A_15",NA,1,4.01797412084616,-0.000284365153229214,0.998,76,690,99.72,999.45,3.988,3.7268,-0.000290309315016727,-0.000284365153229214
"113","RSS_T1-32A2_9",NA,1,3.75099918350519,-0.00128803562328826,0.975,3,37,5.11,49.95,3.7395,3.681,-0.00130463871543265,-0.00128803562328826
"114","RSS_T1-32A2_13",NA,1,4.3525563206379,-0.000197092495840903,0.672,3,37,5.11,49.95,4.354,4.3454,-0.00019179304192686,-0.000197092495840903
"115","RSS_T1-32A2_14",NA,1,3.87353760212206,-0.00118088945263915,0.989,3,37,5.11,49.95,3.8687,3.8127,-0.00124888492417484,-0.00118088945263915
"116","RSS_T1-32A2_15",NA,1,4.29259610982854,-0.000240085840688477,0.685,3,37,5.11,49.95,4.2897,4.2819,-0.000173951828724344,-0.000240085840688477
"117","RSS_T1-32B_9",NA,1,3.78147689975188,-0.000557878916666066,0.999,75,693,100.5,999.98,3.7184,3.2217,-0.000552207942366701,-0.000557878916666066
"118","RSS_T1-32B_13",NA,1,3.81248111865409,-0.000686214265543769,0.999,75,693,100.5,999.98,3.7357,3.1109,-0.000694623560279273,-0.000686214265543769
"119","RSS_T1-32B_14",NA,1,3.30486588586524,-0.00127774109081974,1,75,693,100.5,999.98,3.1708,2.0304,-0.00126784364299373,-0.00127774109081974
"120","RSS_T1-32B_15",NA,1,3.94809854514961,-0.000481327224266605,1,75,693,100.5,999.98,3.8989,3.4655,-0.00048183394850358,-0.000481327224266605
"121","RSS_T3-27A_9",NA,1,4.64932854898228,-0.00113358892354229,0.999,78,757,99.97,999.44,4.5436,3.5293,-0.00112766406884054,-0.00113358892354229
"122","RSS_T3-27A_13",NA,1,4.61765692219333,-0.000322150104068876,0.995,385,833,500.02,1099.92,4.4481,4.2589,-0.000315385897649609,-0.000322150104068876
"123","RSS_T3-27A_14",NA,1,4.62171087071105,-0.00023658115081925,0.995,385,757,500.02,999.44,4.5018,4.3798,-0.000244283368707701,-0.00023658115081925
"124","RSS_T3-27A_15",NA,1,4.69904959266411,-0.000407616451455311,0.998,78,757,99.97,999.44,4.6501,4.2828,-0.000408351584822173,-0.000407616451455311
"125","RSS_T3-27B_9",NA,1,4.59001123953661,-0.000286482099068343,0.998,437,952,600.12,1299.75,4.4106,4.2168,-0.000277003559024055,-0.000286482099068343
"126","RSS_T3-27B_13",NA,1,4.68406343374692,-0.00043812330844134,0.999,81,733,100.2,1000.5,4.6392,4.2443,-0.000438631567255359,-0.00043812330844134
"127","RSS_T3-27B_14",NA,1,4.59312981405043,-0.00110892656087871,0.967,81,733,100.2,1000.5,4.3961,3.512,-0.000982005998000666,-0.00110892656087871
"128","RSS_T3-27B_15",NA,1,4.55612922268821,-0.00101009263104697,0.999,81,733,100.2,1000.5,4.4319,3.5466,-0.000983338887037654,-0.00101009263104697
"129","RSS_T3-29.5A_9",NA,1,3.60382566737925,-0.00164917517915888,1,64,706,99.72,1099.84,3.4567,1.8003,-0.0016562012558493,-0.00164917517915888
"130","RSS_T3-29.5A_13",NA,1,4.89205177991667,-0.000263978530818097,0.993,636,959,1000.59,1500.22,4.6248,4.4931,-0.000263595060344654,-0.000263978530818097
"131","RSS_T3-29.5A_14",NA,1,4.45492386638571,-0.000433352099375152,0.989,64,636,99.72,1000.59,4.4138,3.9899,-0.000470545139698292,-0.000433352099375152
"132","RSS_T3-29.5A_15",NA,1,4.65390091283401,-7.44327508112962e-05,0.84,64,566,99.72,899.83,4.6563,4.5772,-9.88614065565979e-05,-7.44327508112962e-05
"133","RSS_T3-29.5B_9",NA,1,4.3760186087796,-0.000354429078396697,0.989,68,703,100.17,999.77,4.3572,4.0069,-0.000389395286794131,-0.000354429078396697
"134","RSS_T3-29.5B_13",NA,1,4.46362114354193,-0.000240408780036188,0.985,68,772,100.17,1099.92,4.449,4.1775,-0.000271567891972993,-0.000240408780036188
"135","RSS_T3-29.5B_14",NA,1,4.5401660873868,-0.00102272191733034,0.829,6,772,10.08,1099.92,4.2646,3.3559,-0.000833792116273948,-0.00102272191733034
"136","RSS_T3-29.5B_15",NA,1,4.4834247920782,-0.00062123545095811,1,141,772,200.33,1099.92,4.35,3.799,-0.000612501250569704,-0.00062123545095811
"137","RSS_T3-32A_9",NA,1,4.18920767776476,-0.000865653824428908,0.998,63,650,99.39,999.78,4.0926,3.317,-0.000861404502493364,-0.000865653824428908
"138","RSS_T3-32A_13",NA,1,4.49046214749774,-0.000105080337482339,0.989,63,650,99.39,999.78,4.4801,4.3918,-9.80686147114031e-05,-0.000105080337482339
"139","RSS_T3-32A_14",NA,1,4.24045503222895,-0.000839049140462794,0.997,316,650,499.42,999.78,3.8052,3.4184,-0.000773043408745703,-0.000839049140462794
"140","RSS_T3-32A_15",NA,1,4.54524572262536,-0.000185010750399976,0.994,63,650,99.39,999.78,4.5222,4.3648,-0.000174813136529726,-0.000185010750399976
"141","RSS_T3-32B_9",NA,1,3.72863270856752,-0.00117065696190181,0.999,133,609,200.31,900.22,3.5037,2.6713,-0.00118929576659856,-0.00117065696190181
"142","RSS_T3-32B_13",NA,1,4.31412196275825,-0.000371970508701753,0.999,65,683,99.34,1000.11,4.2709,3.9454,-0.000361357505245513,-0.000371970508701753
"143","RSS_T3-32B_14",NA,1,4.23762613655394,-0.00065263813716549,0.993,65,609,99.34,900.22,4.1557,3.6481,-0.000633802816901409,-0.00065263813716549
"144","RSS_T3-32B_15",NA,1,4.38394201011439,-0.000292843149538175,0.999,166,646,250.52,949.81,4.3072,4.1105,-0.000281285303665146,-0.000292843149538175
"145","RSS_T3-34.5A_9",NA,1,3.5670705749672,-0.000819844192215576,0.991,69,473,100.42,799.3,3.5091,2.9411,-0.000812728937728938,-0.000819844192215576
"146","RSS_T3-34.5A_13",NA,1,4.60870037657788,-1.24729984942771e-06,0.0207,69,473,100.42,799.3,4.6072,4.607,-2.86172161171494e-07,-1.24729984942771e-06
"147","RSS_T3-34.5A_14",NA,1,4.41472269230329,-6.26496545086417e-05,0.978,69,473,100.42,799.3,4.408,4.3636,-6.35302197802204e-05,-6.26496545086417e-05
"148","RSS_T3-34.5A_15",NA,1,4.5645586980232,-6.03852342009432e-05,0.972,69,473,100.42,799.3,4.5539,4.5165,-5.3514194139194e-05,-6.03852342009432e-05
"149","RSS_T3-34.5B_9",NA,1,4.49765330403916,-7.87268454446216e-05,0.969,72,485,99.92,699.41,4.4904,4.4434,-7.83999733106484e-05,-7.87268454446216e-05
"150","RSS_T3-34.5B_13",NA,1,4.57991207195425,-5.70649107177683e-06,0.245,72,485,99.92,699.41,4.5794,4.5719,-1.25106340389321e-05,-5.70649107177683e-06
"151","RSS_T3-34.5B_14",NA,1,4.4915646405469,-3.06659228086425e-05,0.898,72,485,99.92,699.41,4.4874,4.4708,-2.76902033395059e-05,-3.06659228086425e-05
"152","RSS_T3-34.5B_15",NA,1,4.55052628449852,-1.10070700534089e-05,0.555,72,485,99.92,699.41,4.5477,4.542,-9.50808186958922e-06,-1.10070700534089e-05
